City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Zhanjiang,CN,81.95,overcast clouds,21.2815,110.3427,创业旅店
9,Ponta Do Sol,PT,75.7,scattered clouds,32.6667,-17.1,Hotel do Campo
16,Jambi,ID,82.92,scattered clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
26,Hobyo,SO,81.91,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
32,Terra Santa,BR,75.2,light rain,-2.1042,-56.4869,Hotel Sarah
36,Mongo,TD,86.23,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
43,Maragogi,BR,75.25,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
45,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
47,Huilong,CN,84.04,moderate rain,31.8111,121.655,Hilton Garden Inn Qidong
48,Santa Rosa,PH,82.9,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
49,Sale,MA,84.22,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
50,Atuona,PF,76.8,broken clouds,-9.8,-139.0333,Villa Enata
51,Arona,ES,75.02,few clouds,28.0996,-16.681,Paradise Court
56,Port Blair,IN,83.1,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
58,Bengkulu,ID,81.61,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
68,Kerema,PG,78.24,overcast clouds,-7.9631,145.7785,Frena Lodge
70,Saint George,US,88.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
73,Pochutla,MX,76.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
78,Nikolskoye,RU,75.09,light rain,59.7035,30.7861,Tourist House - Sablino
79,Kapaa,US,80.92,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Bandarbeyla,SO,84.96,broken clouds,9.4942,50.8122,JABIR HOTEL
87,Dwarka,IN,83.52,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
91,Puerto Escondido,MX,76.8,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
92,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
97,Manavalakurichi,IN,84.29,overcast clouds,8.1333,77.3,Udaya Boys Hostel
106,Padang,ID,80.65,scattered clouds,-0.9492,100.3543,Mercure Padang
110,Plonsk,PL,80.82,clear sky,52.6235,20.3755,Hotel Martex
114,Qui Nhon,VN,89.83,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
118,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
