City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zhanjiang,CN,21.2815,110.3427,81.95,87,100,3.0,overcast clouds
1,Cape Town,ZA,-33.9258,18.4232,58.87,90,90,3.0,light rain
2,Lata,PT,40.1629,-8.3327,74.35,37,0,6.69,clear sky
3,Lianran,CN,24.9227,102.485,72.14,88,81,1.34,light rain
4,Treinta Y Tres,UY,-33.2333,-54.3833,34.36,86,7,7.94,clear sky
5,Mount Isa,AU,-20.7333,139.5,67.77,34,3,1.14,clear sky
6,Hobart,AU,-42.8794,147.3294,49.05,74,40,1.99,scattered clouds
7,Puerto Ayora,EC,-0.7393,-90.3518,71.11,87,68,6.46,broken clouds
8,Kaitangata,NZ,-46.2817,169.8464,48.92,78,35,5.82,scattered clouds
9,Ponta Do Sol,PT,32.6667,-17.1,75.7,73,48,4.36,scattered clouds
10,Rikitea,PF,-23.1203,-134.9692,73.44,78,8,8.57,light rain
11,Izhma,RU,65.0083,53.9113,53.8,67,100,2.89,overcast clouds
12,Skjervoy,NO,70.0311,20.9714,53.6,77,69,11.27,broken clouds
13,Saldanha,ZA,-33.0117,17.9442,55.45,85,100,16.31,light rain
14,Hastings,GB,50.8552,0.5729,69.4,54,17,19.51,few clouds
15,Buin,CL,-33.7333,-70.75,55.74,15,0,2.8,clear sky
16,Jambi,ID,-1.6,103.6167,82.92,52,25,2.1,scattered clouds
17,Busselton,AU,-33.65,115.3333,52.09,76,53,28.23,broken clouds
18,Hilo,US,19.7297,-155.09,73.8,94,75,3.44,light rain
19,Jamestown,US,42.097,-79.2353,69.71,91,1,4.0,clear sky
20,Oranjemund,NA,-28.55,16.4333,61.57,49,0,11.1,clear sky
21,Turukhansk,RU,65.8167,87.9833,61.05,76,100,1.43,light rain
22,Chishtian Mandi,PK,29.8,72.8667,97.45,45,96,3.22,overcast clouds
23,Bluff,NZ,-46.6,168.3333,46.8,83,78,9.04,broken clouds
24,Ushuaia,AR,-54.8,-68.3,47.86,46,90,18.41,light rain
25,Port Augusta,AU,-32.5,137.7667,59.14,51,5,9.24,clear sky
26,Hobyo,SO,5.3505,48.5268,81.91,65,76,27.18,broken clouds
27,Chapais,CA,49.7834,-74.8492,55.18,94,100,5.14,overcast clouds
28,Tuktoyaktuk,CA,69.4541,-133.0374,49.42,75,100,9.51,light rain
29,Camacari,BR,-12.6975,-38.3242,71.37,85,12,3.56,few clouds
30,Kodiak,US,57.79,-152.4072,54.91,71,90,8.05,overcast clouds
31,Esperance,AU,-33.8667,121.9,60.64,65,28,25.21,scattered clouds
32,Terra Santa,BR,-2.1042,-56.4869,75.2,60,32,1.63,light rain
33,Hamza,UZ,40.4264,71.4956,94.95,9,10,21.65,clear sky
34,Pevek,RU,69.7008,170.3133,32.27,99,100,27.02,snow
35,Airai,TL,-8.9266,125.4092,58.73,87,30,2.51,scattered clouds
36,Mongo,TD,12.1844,18.693,86.23,61,100,3.4,overcast clouds
37,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,100,90,4.47,light intensity shower rain
38,Punta Arenas,CL,-53.15,-70.9167,41.11,65,0,16.11,clear sky
39,Port Elizabeth,ZA,-33.918,25.5701,66.49,48,90,25.32,overcast clouds
40,Chokurdakh,RU,70.6333,147.9167,41.07,63,91,9.75,overcast clouds
41,Cidreira,BR,-30.1811,-50.2056,41.59,82,87,17.67,overcast clouds
42,Olafsvik,IS,64.8945,-23.7142,52.77,87,82,9.53,broken clouds
43,Maragogi,BR,-9.0122,-35.2225,75.25,82,8,2.06,clear sky
44,Krasnoarmeysk,RU,51.0239,45.6969,72.09,57,100,8.46,overcast clouds
45,Ribeira Grande,PT,38.5167,-28.7,75.6,64,75,9.22,broken clouds
46,Talnakh,RU,69.4865,88.3972,68.23,51,99,2.55,overcast clouds
47,Huilong,CN,31.8111,121.655,84.04,92,55,7.61,moderate rain
48,Santa Rosa,PH,14.3122,121.1114,82.9,86,99,7.74,overcast clouds
49,Sale,MA,34.0389,-6.8166,84.22,73,40,6.91,scattered clouds
50,Atuona,PF,-9.8,-139.0333,76.8,71,77,14.58,broken clouds
51,Arona,ES,28.0996,-16.681,75.02,64,20,7.0,few clouds
52,Pauini,BR,-7.7136,-66.9764,68.2,45,40,5.7,scattered clouds
53,Knysna,ZA,-34.0363,23.0471,68.38,60,89,11.9,overcast clouds
54,Kuragino,RU,53.8975,92.6725,68.09,64,1,4.27,clear sky
55,Talcahuano,CL,-36.7167,-73.1167,46.08,76,0,8.05,clear sky
56,Port Blair,IN,11.6667,92.75,83.1,82,86,17.13,overcast clouds
57,Porto Velho,BR,-8.7619,-63.9039,68.05,56,20,10.36,few clouds
58,Bengkulu,ID,-3.8004,102.2655,81.61,76,29,11.34,scattered clouds
59,Tuatapere,NZ,-46.1333,167.6833,46.81,86,92,5.95,overcast clouds
60,Vestmannaeyjar,IS,63.4427,-20.2734,56.39,88,20,6.91,few clouds
61,Codrington,AU,-38.2667,141.9667,45.32,85,2,11.01,clear sky
62,Mataura,NZ,-46.1927,168.8643,46.47,94,97,4.05,overcast clouds
63,Mehriz,IR,31.5917,54.4318,93.7,12,5,11.77,clear sky
64,Palmer,US,42.1584,-72.3287,67.46,85,90,0.0,overcast clouds
65,Sancti Spiritus,CU,21.9297,-79.4425,72.32,95,24,3.74,few clouds
66,Albany,US,42.6001,-73.9662,60.58,94,60,1.41,broken clouds
67,Chuy,UY,-33.6971,-53.4616,37.65,89,11,9.62,few clouds
68,Kerema,PG,-7.9631,145.7785,78.24,91,99,4.03,overcast clouds
69,Dikson,RU,73.5069,80.5464,41.05,89,89,12.01,overcast clouds
70,Saint George,US,37.1041,-113.5841,88.39,39,1,4.0,clear sky
71,Nanortalik,GL,60.1432,-45.2371,45.25,85,100,8.46,overcast clouds
72,Ituporanga,BR,-27.4144,-49.6025,39.36,67,14,4.45,few clouds
73,Pochutla,MX,15.7432,-96.4661,76.82,88,74,4.43,broken clouds
74,Ust-Tsilma,RU,65.441,52.1498,51.78,80,100,0.69,overcast clouds
75,East London,ZA,-33.0153,27.9116,72.54,28,0,25.32,clear sky
76,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,93,90,5.75,overcast clouds
77,Saint-Philippe,RE,-21.3585,55.7679,74.79,75,73,16.55,broken clouds
78,Nikolskoye,RU,59.7035,30.7861,75.09,51,59,9.17,light rain
79,Kapaa,US,22.0752,-159.319,80.92,75,40,12.66,scattered clouds
80,Padilla,CO,3.2204,-76.3139,65.77,83,76,3.04,broken clouds
81,Bandarbeyla,SO,9.4942,50.8122,84.96,57,68,33.93,broken clouds
82,Port Alfred,ZA,-33.5906,26.891,66.33,51,35,28.81,scattered clouds
83,Batemans Bay,AU,-35.7167,150.1833,49.91,71,0,4.83,clear sky
84,Hermanus,ZA,-34.4187,19.2345,58.8,76,96,10.38,overcast clouds
85,Zhangjiakou,CN,40.81,114.8794,70.29,76,100,5.46,moderate rain
86,Torbay,CA,47.6666,-52.7314,63.75,96,90,11.5,overcast clouds
87,Dwarka,IN,22.2394,68.9678,83.52,80,99,26.4,overcast clouds
88,Hualmay,PE,-11.0964,-77.6139,62.31,85,61,6.46,broken clouds
89,Baoying,CN,33.2292,119.3092,73.11,88,92,10.92,overcast clouds
90,Yellowknife,CA,62.456,-114.3525,59.29,100,90,4.61,overcast clouds
91,Puerto Escondido,MX,15.85,-97.0667,76.8,86,94,3.71,overcast clouds
92,Tautira,PF,-17.7333,-149.15,77.02,79,73,5.23,light rain
93,Zhigansk,RU,66.7697,123.3711,68.09,44,7,6.93,clear sky
94,Pampa,US,35.5362,-100.9599,70.57,88,1,6.91,clear sky
95,Gladstone,AU,-23.85,151.25,67.93,83,1,4.61,clear sky
96,Caravelas,BR,-17.7125,-39.2481,73.35,77,5,2.62,clear sky
97,Manavalakurichi,IN,8.1333,77.3,84.29,69,100,20.36,overcast clouds
98,Pangai,TO,-19.8,-174.35,73.8,70,98,15.35,overcast clouds
99,San Cristobal,VE,7.7669,-72.225,63.81,98,94,4.47,overcast clouds
100,Avarua,CK,-21.2078,-159.775,69.85,83,75,8.05,broken clouds
101,Tasiilaq,GL,65.6145,-37.6368,48.36,65,58,2.8,broken clouds
102,Mizdah,LY,31.4451,12.9801,93.43,16,0,10.89,clear sky
103,Bagdarin,RU,54.4333,113.6,61.95,89,97,1.81,overcast clouds
104,Vaini,TO,-21.2,-175.2,68.16,83,20,6.91,few clouds
105,Churapcha,RU,62.0025,132.4325,66.29,33,1,11.18,clear sky
106,Padang,ID,-0.9492,100.3543,80.65,79,40,2.37,scattered clouds
107,Ostrovnoy,RU,68.0531,39.5131,49.53,71,100,3.49,overcast clouds
108,Castro,BR,-24.7911,-50.0119,30.02,76,7,6.89,clear sky
109,Vardo,NO,70.3705,31.1107,48.18,87,75,5.75,broken clouds
110,Plonsk,PL,52.6235,20.3755,80.82,48,2,13.96,clear sky
111,Broken Hill,AU,-31.95,141.4333,51.51,40,0,8.05,clear sky
112,Dunedin,NZ,-45.8742,170.5036,47.8,82,78,17.0,broken clouds
113,Natal,BR,-5.795,-35.2094,74.05,94,20,8.05,few clouds
114,Qui Nhon,VN,13.7667,109.2333,89.83,60,89,13.33,overcast clouds
115,Severo-Kurilsk,RU,50.6789,156.125,57.34,96,83,3.98,broken clouds
116,Qaqortoq,GL,60.7167,-46.0333,45.66,82,99,1.66,overcast clouds
117,Kumylzhenskaya,RU,49.8809,42.5898,90.03,31,71,15.57,broken clouds
118,San Andres,CO,12.5847,-81.7006,80.62,78,20,13.8,few clouds
119,Butaritari,KI,3.0707,172.7902,83.16,72,16,9.19,few clouds
120,Port Macquarie,AU,-31.4333,152.9167,48.88,53,0,7.9,clear sky
121,Saskylakh,RU,71.9167,114.0833,84.79,45,100,6.38,overcast clouds
122,Valenca,BR,-13.3703,-39.0731,73.92,80,21,3.02,few clouds
123,Dalgopol,BG,43.05,27.35,102.47,15,3,6.58,clear sky
124,Praia Da Vitoria,PT,38.7333,-27.0667,76.75,88,20,9.66,few clouds
125,Atar,MR,20.5169,-13.0499,97.27,21,38,8.08,scattered clouds
126,Pisco,PE,-13.7,-76.2167,58.01,100,40,1.14,mist
127,Kijang,KR,35.2442,129.2139,85.73,73,50,4.72,scattered clouds
128,Lebu,CL,-37.6167,-73.65,47.25,76,0,7.87,clear sky
129,Ndende,GA,-2.4008,11.3581,84.09,35,19,0.85,few clouds
130,Miraflores,MX,19.2167,-98.8083,60.03,94,88,2.33,overcast clouds
131,Hithadhoo,MV,-0.6,73.0833,81.84,73,100,9.46,moderate rain
132,Mont-Dore,NC,-22.2833,166.5833,62.58,75,1,6.33,clear sky
133,Victoria,HK,22.2855,114.1577,88.32,85,100,4.0,moderate rain
134,Roma,US,43.2128,-75.4557,59.86,95,1,3.44,clear sky
135,Andenes,NO,69.3143,16.1194,55.08,82,75,18.41,broken clouds
136,Ban Nahin,LA,18.2418,104.2122,80.94,91,100,2.66,overcast clouds
137,Koslan,RU,63.4564,48.8989,64.44,49,83,3.98,broken clouds
138,Henties Bay,NA,-22.116,14.2845,64.33,61,0,10.92,clear sky
139,Georgetown,MY,5.4112,100.3354,87.75,73,20,1.01,few clouds
140,Teguise,ES,29.0605,-13.564,73.62,65,20,21.85,few clouds
141,Polyarnyy,RU,69.1989,33.4478,52.27,77,100,8.08,overcast clouds
